component,code,rule_template,condition,description
CLEAN,CL1,cleantp_replace_category,,"Standardize QUOC_TICH via Danhmuc_QuocGia: map MA_QG/QUOC_GIA/abbr to TEN_QG/TEN_VT/full; keep original if not mapped"
CLEAN,CL2,cleantp_replace_category,,"Standardize LOAI_GTTT via Danhmuc_Loai_GTTT: map old values (GTTT) to new standard (LOAI_GTTT); keep original if not mapped"
CLEAN,CL3,cleantp_remove_pattern,"[^A-Za-z_\-\.\, ;]","Remove special characters from NOI_CAP_GTTT (keep letters and safe punctuation: _ -,.;)"
CLEAN,CL4,cleantp_format_datetime,MM/DD/YYYY,"If PASS_E_DT cannot be parsed as date MM/DD/YYYY, set to null (after V1 marks invalid dates)"
CLEAN,CL5,cleantp_remove_pattern,"[^0-9]","Remove non-digits from MOBILE (and RES_PH_NO_1, RES_PH_NO_2 if present)"
VALIDATE,V1,validatetp_regex_not_like,"^[0-9]{2}/[0-9]{2}/[0-9]{4}$","PASS_E_DT must be convertible to date MM/DD/YYYY (future dates or malformed are invalid)"
VALIDATE,V2,validatetp_regex_not_like,"^[0-9]+$","MOBILE must contain only digits (no special characters)"
VALIDATE,V3,validatetp_regex_not_like,"^(0[0-9]{9}|[35789][0-9]{8})$","Phone length/format: if starts with 0 then 10 digits; if starts with [35789] then 9 digits (after cleansing)"
VALIDATE,V4,validatetp_regex_not_like,,"PASS_NO length depends on LOAI_GTTT: CCCD/THE CAN CUOC = 12 digits; CMTND/CMTQD = 9 or 12 digits"
VALIDATE,V5,check_invalid_category,,"LOAI_GTTT must belong to allowed set per Danhmuc_Loai_GTTT (values not in the catalog are invalid)"
VALIDATE,V6,check_active_datetime_legal_id,"15:0","For CCCD/THE CAN CUOC, PASS_E_DT must equal PASS_I_DT + 15 years"
VALIDATE,V7,check_legal_id_range_datetime,KDI7:{{ var("shb_cif_open_date_col") }},"PASS_I_DT must be after D_O_B and not after CIF open date (if provided)"
VALIDATE,V8,check_invalid_category,,"QUOC_TICH must not be in special-control list per Danhmuc_QuocGia where KIEM_SOAT = 1"
MATCH,M1,match_manual_straight,,"Match on LOAI_GTTT and PASS_NO duplicates across core records"
MATCH,M2,match_manual_straight,,"Match individuals on F_NAME, M_NAME, L_NAME, D_O_B, SEX_CD (CUSTOMER_TYPE=I)"
MERGE,M3,merge_address,,"Merge address: prefer CARD_ADDR when available, else CORE_CIF RES_ADD_1"
MERGE,M4,merge_dedup_priority,,"Merge duplicates: prefer records without invalids; then lowest error count; then individual; then newest CIF"
